FilmID,Writer,Actors,Plot,Language,Country,Awards,Poster
tt0022599,René Clair,"Raymond Cordy, Henri Marchand, Rolla France","Seeking better life, two convicts escape from prison.",French,France,Nominated for 1 Oscar. 3 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BODg0ODAzNTItM2M4ZC00NGYxLWIzMmMtNzFiMWIzYWU2YWJiXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg
tt0257360,"Louis Begley, Alexander Payne, Jim Taylor","Jack Nicholson, Hope Davis, Dermot Mulroney","A recently retired man embarks on a journey to his estranged daughter's wedding, only to discover more about himself and life than he ever expected.",English,United States,Nominated for 2 Oscars. 25 wins & 71 nominations total,https://m.media-amazon.com/images/M/MV5BNDgxYzgyMGUtYTkxYS00Yzk5LWIwMmItNGIzY2I5ZTE3MmNjXkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_SX300.jpg
tt0081974,"Kurt Luedtke, David Rayfiel","Paul Newman, Sally Field, Bob Balaban","When a prosecutor leaks a false story that a liquor warehouse owner is involved in the murder of a union head, the man's life begins to unravel.","English, Spanish",United States,Nominated for 3 Oscars. 3 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BZjlmMTdhNDgtYWMwZi00ZWIxLThlYzEtODE0MjlhNjEzZjlhXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg
tt0041090,"Ruth Gordon, Garson Kanin","Spencer Tracy, Katharine Hepburn, Judy Holliday",Domestic and professional tensions mount when a husband and wife work as opposing lawyers in a case involving a woman who shot her husband.,English,United States,Nominated for 1 Oscar. 1 win & 4 nominations total,https://m.media-amazon.com/images/M/MV5BNmEyY2ExYTMtN2VmNi00MTMwLWE3MmQtZDM1NDAxNDdhZDRlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg
tt0268126,"Susan Orlean, Charlie Kaufman","Nicolas Cage, Meryl Streep, Chris Cooper",A lovelorn screenwriter becomes desperate as he tries and fails to adapt 'The Orchid Thief' by Susan Orlean for the screen.,"English, Latin",United States,Won 1 Oscar. 65 wins & 100 nominations total,https://m.media-amazon.com/images/M/MV5BZjIwZWU0ZDItNzBlNS00MDIwLWFlZjctZTJjODdjZWYxNzczL2ltYWdlXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg
tt0101273,Atom Egoyan,"Elias Koteas, Arsinée Khanjian, Maury Chaykin","A reflection about what makes everyone's life unique, through the story of Noah's family. Noah is an adjuster, having sex with his customers. His wife Hera watches pornographic movies for the Board of Censors. They live with their so",English,Canada,5 wins & 2 nominations,https://m.media-amazon.com/images/M/MV5BZjY4ZTdjZTItZmM1Ny00ZjIyLWI4OGYtOWY5NjY5YjA3ZDNiXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg
tt0029843,"Norman Reilly Raine, Seton I. Miller, Rowland Leigh","Errol Flynn, Olivia de Havilland, Basil Rathbone","When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence in 1190s England, a Saxon lord fights back as the outlaw leader of a resistance movement.",English,United States,Won 3 Oscars. 6 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BYjZjOTU3MTMtYTM5YS00YjZmLThmNmMtODcwOTM1NmRiMWM2XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg
tt0118564,"Russell Banks, Paul Schrader","Nick Nolte, Sissy Spacek, James Coburn",A deeply troubled small-town cop investigates a suspicious hunting death while other events jeopardize his sanity.,English,"United States, Canada, Japan",Won 1 Oscar. 8 wins & 19 nominations total,https://m.media-amazon.com/images/M/MV5BOWFlM2M3YTEtNGRiNi00Y2ZmLWI3YjYtZGFlMDQ4YzA5MTcyXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg
tt0043265,"C.S. Forester, James Agee, John Huston","Humphrey Bogart, Katharine Hepburn, Robert Morley","In WWI East Africa, a gin-swilling Canadian riverboat captain is persuaded by a strait-laced English missionary to undertake a trip up a treacherous river and use his boat to attack a German gunship.","English, German, Swahili","United Kingdom, United States",Won 1 Oscar. 5 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BYzM3YjE2NGMtODY3Zi00NTY0LWE4Y2EtMTE5YzNmM2U1NTg2XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg
tt0021577,"Luis Buñuel, Salvador Dalí, Marquis de Sade","Gaston Modot, Lya Lys, Caridad de Laberdesque","A surrealist tale of a man and a woman who are passionately in love with each other, but their attempts to consummate that passion are constantly thwarted by their families, the Church, and bourgeois society.",French,France,N/A,https://m.media-amazon.com/images/M/MV5BOTQ1MWRmODYtZWYyNS00YTE0LWE3OWEtZTkxNzdjNzRjZWNhXkEyXkFqcGdeQXVyNTcwNjUwNzk@._V1_SX300.jpg
tt0068182,Werner Herzog,"Klaus Kinski, Ruy Guerra, Helena Rojo","In the 16th century, the ruthless and insane Don Lope de Aguirre leads a Spanish expedition in search of El Dorado.","German, Quechua, Spanish",West Germany,5 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BMjRkY2VhYzMtZWQyNS00OTY2LWE5NTAtYjlhNmQyYzE5MmUxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg
tt0212720,"Brian Aldiss, Ian Watson, Steven Spielberg","Haley Joel Osment, Jude Law, Frances O'Connor","A highly advanced robotic boy longs to become ""real"" so that he can regain the love of his human mother.",English,"United States, United Kingdom",Nominated for 2 Oscars. 17 wins & 71 nominations total,https://m.media-amazon.com/images/M/MV5BNWU2NzEyMDYtM2MyOS00OGM3LWFkNzAtMzRiNzE2ZjU5ZTljXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg
tt0080339,"Jim Abrahams, David Zucker, Jerry Zucker","Robert Hays, Julie Hagerty, Leslie Nielsen",A man afraid to fly must ensure that a plane lands safely after the pilots become sick.,English,United States,Nominated for 1 BAFTA Film Award3 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BZjA3YjdhMWEtYjc2Ni00YzVlLWI0MTUtMGZmNTJjNmU0Yzk2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
tt0103639,"Ron Clements, John Musker, Ted Elliott","Scott Weinger, Robin Williams, Linda Larkin",A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,English,United States,Won 2 Oscars. 32 wins & 22 nominations total,https://m.media-amazon.com/images/M/MV5BY2Q2NDI1MjUtM2Q5ZS00MTFlLWJiYWEtNTZmNjQ3OGJkZDgxXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg
tt0029850,"Sergei M. Eisenstein, Pyotr Pavlenko","Nikolay Cherkasov, Nikolai Okhlopkov, Andrei Abrikosov",The story of how a great Russian prince led a ragtag army to battle an invading force of Teutonic Knights.,Russian,Soviet Union,2 wins,https://m.media-amazon.com/images/M/MV5BN2JjMjY5ZDMtNDA5Yi00YzA0LTkwNTAtYmQzZTM0NWZmNmI5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjMxMjkwMjI@._V1_SX300.jpg
tt0071115,Robert Getchell,"Ellen Burstyn, Kris Kristofferson, Mia Bendixsen","A recently widowed woman is on the road with her precocious young son, determined to make a new life for herself as a singer.",English,United States,Won 1 Oscar. 6 wins & 11 nominations total,https://m.media-amazon.com/images/M/MV5BMTc0NzYzNDI5N15BMl5BanBnXkFtZTcwNzEyNTY1Mw@@._V1_SX300.jpg
tt0064002,"Arlo Guthrie, Venable Herndon, Arthur Penn","Arlo Guthrie, Patricia Quinn, James Broderick",A cinematic adaption of Arlo Guthrie's classic song story.,English,United States,Nominated for 1 Oscar. 4 nominations total,https://m.media-amazon.com/images/M/MV5BZmVhM2M2MTQtMDgwMS00ZWQ4LTg1NTMtZmRmYjJlMTE5NTEzXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg
tt0090605,"James Cameron, David Giler, Walter Hill","Sigourney Weaver, Michael Biehn, Carrie Henn","Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.",English,"United Kingdom, United States",Won 2 Oscars. 20 wins & 23 nominations total,https://m.media-amazon.com/images/M/MV5BZGU2OGY5ZTYtMWNhYy00NjZiLWI0NjUtZmNhY2JhNDRmODU3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg
tt0042192,"Joseph L. Mankiewicz, Mary Orr","Bette Davis, Anne Baxter, George Sanders",A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,"English, French",United States,Won 6 Oscars. 26 wins & 20 nominations total,https://m.media-amazon.com/images/M/MV5BMTY2MTAzODI5NV5BMl5BanBnXkFtZTgwMjM4NzQ0MjE@._V1_SX300.jpg
tt0185125,Pedro Almodóvar,"Cecilia Roth, Marisa Paredes, Candela Peña","Young Esteban wants to become a writer and also to discover the identity of his second mother, a trans woman, carefully concealed by his mother Manuela.","Spanish, Catalan","Spain, France",Won 1 Oscar. 58 wins & 40 nominations total,https://m.media-amazon.com/images/M/MV5BODMyYTc3YmItZDYwZC00ZmU1LTgyNGUtMDU4NDhiOWExNmU3XkEyXkFqcGdeQXVyMTI3ODAyMzE2._V1_SX300.jpg
tt0020629,"Erich Maria Remarque, Maxwell Anderson, George Abbott","Lew Ayres, Louis Wolheim, John Wray","A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror.","English, French, German, Latin",United States,Won 2 Oscars. 7 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BMzg2MWQ4MDEtOGZlNi00MTg0LWIwMjQtYWY5NTQwYmUzMWNmXkEyXkFqcGdeQXVyMzg2MzE2OTE@._V1_SX300.jpg
tt0047811,"Peggy Thompson, Edna L. Lee, Harry Lee","Jane Wyman, Rock Hudson, Agnes Moorehead","An upper-class widow falls in love with a much younger, down-to-earth nurseryman, much to the disapproval of her children and criticism of her country club peers.",English,United States,1 win,https://m.media-amazon.com/images/M/MV5BOTAzZmI5ODgtYzYzZS00ZDQxLTk5NDItNzY3YjdhYjE3Nzk3XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg
tt0041113,"Robert Penn Warren, Robert Rossen","Broderick Crawford, John Ireland, Joanne Dru","The rise and fall of a corrupt politician, who makes his friends richer and retains power by dint of a populist appeal.",English,United States,Won 3 Oscars. 14 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BZjQyN2MwMjAtNmJmZS00OWZlLWE1NGQtOGZmYmRjZjIyNWEyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg
tt0074119,"Carl Bernstein, Bob Woodward, William Goldman","Dustin Hoffman, Robert Redford, Jack Warden","""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation.","English, Spanish",United States,Won 4 Oscars. 17 wins & 21 nominations total,https://m.media-amazon.com/images/M/MV5BOWI2YWQxM2MtY2U4Yi00YjgzLTgwNzktN2ExNTgzNTIzMmUzXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg
