"AwardCategory","AwardWinner","SecondaryName.list","AwardCeremony","FilmID","FilmName","PersonID","PersonName","CompanyID","CompanyName","Ceremony","CeremonyYear"
"Best Actor","Winner","Dog Day Afternoon","Event-1-1975","tt0072890","Dog Day Afternoon","nm0000199","Al Pacino",NA,NA,"001","1975"
"Best Actress","Winner","A Brief Vacation","Event-1-1975","tt0069823","A Brief Vacation","nm0093030","Florinda Bolkan",NA,NA,"001","1975"
"Best Cinematography","Winner","John Alcott","Event-1-1975","tt0072684","Barry Lyndon","nm0005633","John Alcott",NA,NA,"001","1975"
"Best Director","Winner","Dog Day Afternoon","Event-1-1975","tt0072890","Dog Day Afternoon","nm0001486","Sidney Lumet",NA,NA,"001","1975"
"Best Foreign Film","Winner","Claude Lelouch","Event-1-1975","tt0072307","And Now My Love","nm0500988","Claude Lelouch",NA,NA,"001","1975"
"Best Picture","Winner",NA,"Event-1-1975","tt0072890","Dog Day Afternoon",NA,NA,NA,NA,"001","1975"
"Best Picture","Winner",NA,"Event-1-1975","tt0073486","One Flew Over the Cuckoo's Nest",NA,NA,NA,NA,"001","1975"
"Best Screenplay","Winner","Joan Tewkesbury","Event-1-1975","tt0073440","Nashville","nm0570219","Joan Tewkesbury",NA,NA,"001","1975"
"Best Actor","Winner","Under the Volcano","Event-10-1984","tt0088322","Under the Volcano","nm0001215","Albert Finney",NA,NA,"010","1984"
"Best Actor","Winner","Amadeus","Event-10-1984","tt0086879","Amadeus","nm0000719","F. Murray Abraham",NA,NA,"010","1984"
"Best Actress","Winner","Crimes of Passion, Romancing the Stone","Event-10-1984","tt0087100","Crimes of Passion","nm0000678","Kathleen Turner",NA,NA,"010","1984"
"Best Actress","Winner","Crimes of Passion, Romancing the Stone","Event-10-1984","tt0088011","Romancing the Stone","nm0000678","Kathleen Turner",NA,NA,"010","1984"
"Best Actress",NA,"The Bostonians","Event-10-1984","tt0086992","The Bostonians","nm0000603","Vanessa Redgrave",NA,NA,"010","1984"
"Best Cinematography","Winner","Chris Menges","Event-10-1984","tt0087553","The Killing Fields","nm0579580","Chris Menges",NA,NA,"010","1984"
"Best Cinematography",NA,"Robby Müller","Event-10-1984","tt0087995","Repo Man","nm0005810","Robby Müller",NA,NA,"010","1984"
"Best Director","Winner","Amadeus","Event-10-1984","tt0086879","Amadeus","nm0001232","Milos Forman",NA,NA,"010","1984"
"Best Director",NA,"Once Upon a Time in America","Event-10-1984","tt0087843","Once Upon a Time in America","nm0001466","Sergio Leone",NA,NA,"010","1984"
"Best Foreign Film","Winner","Paul Verhoeven","Event-10-1984","tt0086543","The 4th Man","nm0000682","Paul Verhoeven",NA,NA,"010","1984"
"Best Foreign Film",NA,"Jamie Uys","Event-10-1984","tt0080801","The Gods Must Be Crazy","nm0371059","Jamie Uys",NA,NA,"010","1984"
"Best Music","Winner","Ennio Morricone","Event-10-1984","tt0087843","Once Upon a Time in America","nm0001553","Ennio Morricone",NA,NA,"010","1984"
"Best Music",NA,"Wolfgang Amadeus Mozart","Event-10-1984","tt0086879","Amadeus","nm0003665","Wolfgang Amadeus Mozart",NA,NA,"010","1984"
"Best Picture","Winner",NA,"Event-10-1984","tt0086879","Amadeus",NA,NA,NA,NA,"010","1984"
"Best Picture",NA,NA,"Event-10-1984","tt0087843","Once Upon a Time in America",NA,NA,NA,NA,"010","1984"
"Best Screenplay","Winner","Peter Shaffer","Event-10-1984","tt0086879","Amadeus","nm0787323","Peter Shaffer",NA,NA,"010","1984"
"Best Screenplay",NA,"Alan Rudolph","Event-10-1984","tt0087054","Choose Me","nm0748928","Alan Rudolph",NA,NA,"010","1984"
"Best Supporting Actor","Winner","A Soldier's Story","Event-10-1984","tt0088146","A Soldier's Story","nm0128360","Adolph Caesar",NA,NA,"010","1984"
"Best Supporting Actor",NA,"Places in the Heart, The Killing Fields","Event-10-1984","tt0087921","Places in the Heart","nm0000518","John Malkovich",NA,NA,"010","1984"
"Best Supporting Actor",NA,"Places in the Heart, The Killing Fields","Event-10-1984","tt0087553","The Killing Fields","nm0000518","John Malkovich",NA,NA,"010","1984"
"Best Supporting Actress","Winner","A Passage to India","Event-10-1984","tt0087892","A Passage to India","nm0001919","Peggy Ashcroft",NA,NA,"010","1984"
"Best Supporting Actress",NA,"Swing Shift","Event-10-1984","tt0088213","Swing Shift","nm0001441","Christine Lahti",NA,NA,"010","1984"
"Best Actor","Winner","Kiss of the Spider Woman","Event-11-1985","tt0089424","Kiss of the Spider Woman","nm0000458","William Hurt",NA,NA,"011","1985"
"Best Actor",NA,"Prizzi's Honor","Event-11-1985","tt0089841","Prizzi's Honor","nm0000197","Jack Nicholson",NA,NA,"011","1985"
"Best Actress","Winner","Out of Africa","Event-11-1985","tt0089755","Out of Africa","nm0000658","Meryl Streep",NA,NA,"011","1985"
"Best Actress",NA,"The Color Purple","Event-11-1985","tt0088939","The Color Purple","nm0000155","Whoopi Goldberg",NA,NA,"011","1985"
"Best Cinematography","Winner","David Watkin","Event-11-1985","tt0089755","Out of Africa","nm0914239","David Watkin",NA,NA,"011","1985"
"Best Director","Winner","Brazil","Event-11-1985","tt0088846","Brazil","nm0000416","Terry Gilliam",NA,NA,"011","1985"
"Best Director",NA,"Ran","Event-11-1985","tt0089881","Ran","nm0000041","Akira Kurosawa",NA,NA,"011","1985"
"Best Foreign Film","Winner","Akira Kurosawa","Event-11-1985","tt0089881","Ran","nm0000041","Akira Kurosawa",NA,NA,"011","1985"
"Best Foreign Film","Winner","Luis Puenzo","Event-11-1985","tt0089276","The Official Story","nm0699933","Luis Puenzo",NA,NA,"011","1985"
"Best Music","Winner","Tôru Takemitsu","Event-11-1985","tt0089881","Ran","nm0006316","Tôru Takemitsu",NA,NA,"011","1985"
"Best Music",NA,"Mark Isham","Event-11-1985","tt0090209","Trouble in Mind","nm0006142","Mark Isham",NA,NA,"011","1985"
"Best Picture","Winner",NA,"Event-11-1985","tt0088846","Brazil",NA,NA,NA,NA,"011","1985"
"Best Picture",NA,NA,"Event-11-1985","tt0089755","Out of Africa",NA,NA,NA,NA,"011","1985"
"Best Screenplay","Winner","Terry Gilliam, Charles McKeown, Tom Stoppard","Event-11-1985","tt0088846","Brazil","nm0000416","Terry Gilliam",NA,NA,"011","1985"
"Best Screenplay","Winner","Terry Gilliam, Charles McKeown, Tom Stoppard","Event-11-1985","tt0088846","Brazil","nm0571650","Charles McKeown",NA,NA,"011","1985"
"Best Screenplay","Winner","Terry Gilliam, Charles McKeown, Tom Stoppard","Event-11-1985","tt0088846","Brazil","nm0001779","Tom Stoppard",NA,NA,"011","1985"
"Best Screenplay",NA,"Richard Condon, Janet Roach","Event-11-1985","tt0089841","Prizzi's Honor","nm0174410","Richard Condon",NA,NA,"011","1985"
"Best Screenplay",NA,"Richard Condon, Janet Roach","Event-11-1985","tt0089841","Prizzi's Honor","nm0730027","Janet Roach",NA,NA,"011","1985"
"Best Supporting Actor","Winner","Plenty, The Shooting Party","Event-11-1985","tt0089816","Plenty","nm0000024","John Gielgud",NA,NA,"011","1985"
"Best Supporting Actor","Winner","Plenty, The Shooting Party","Event-11-1985","tt0088111","The Shooting Party","nm0000024","John Gielgud",NA,NA,"011","1985"
"Best Supporting Actor",NA,"Prizzi's Honor","Event-11-1985","tt0089841","Prizzi's Honor","nm0382676","William Hickey",NA,NA,"011","1985"
"Best Supporting Actress","Winner","Prizzi's Honor","Event-11-1985","tt0089841","Prizzi's Honor","nm0001378","Anjelica Huston",NA,NA,"011","1985"
