"AwardCategory","AwardWinner","SecondaryName.list","AwardCeremony","FilmID","FilmName","PersonID","PersonName","CompanyID","CompanyName"
"Best Actor","Winner","Alfie","Event-1-1967","tt0060086","Alfie","nm0000323","Michael Caine",NA,NA
"Best Actor",NA,"Hawaii","Event-1-1967","tt0060491","Hawaii","nm0001884","Max von Sydow",NA,NA
"Best Actor",NA,"Who's Afraid of Virginia Woolf?","Event-1-1967","tt0061184","Who's Afraid of Virginia Woolf?","nm0000009","Richard Burton",NA,NA
"Best Actor",NA,"Othello","Event-1-1967","tt0059555","Othello","nm0000059","Laurence Olivier",NA,NA
"Best Actor",NA,"A Man for All Seasons","Event-1-1967","tt0060665","A Man for All Seasons","nm0006890","Paul Scofield",NA,NA
"Best Actress","Winner","La vieille dame indigne","Event-1-1967","tt0059875","La vieille dame indigne","nm0843294","Sylvie",NA,NA
"Best Actress",NA,"Morgan!","Event-1-1967","tt0060714","Morgan!","nm0000603","Vanessa Redgrave",NA,NA
"Best Actress",NA,"A Man and a Woman","Event-1-1967","tt0061138","A Man and a Woman","nm0000733","Anouk Aimée",NA,NA
"Best Director","Winner","Blow-Up","Event-1-1967","tt0060176","Blow-Up","nm0000774","Michelangelo Antonioni",NA,NA
"Best Film","Winner",NA,"Event-1-1967","tt0060176","Blow-Up",NA,NA,NA,NA
"Best Film",NA,NA,"Event-1-1967","tt0060665","A Man for All Seasons",NA,NA,NA,NA
"Best Film",NA,NA,"Event-1-1967","tt0061184","Who's Afraid of Virginia Woolf?",NA,NA,NA,NA
"Best Actor","Winner","Chinatown, The Last Detail","Event-10-1975","tt0071315","Chinatown","nm0000197","Jack Nicholson",NA,NA
"Best Actor","Winner","Chinatown, The Last Detail","Event-10-1975","tt0070290","The Last Detail","nm0000197","Jack Nicholson",NA,NA
"Best Actress","Winner","Scenes from a Marriage","Event-10-1975","tt6725014","Scenes from a Marriage","nm0880521","Liv Ullmann",NA,NA
"Best Cinematography","Winner","Gordon Willis","Event-10-1975","tt0071562","The Godfather Part II","nm0932336","Gordon Willis",NA,NA
"Best Director","Winner","The Conversation, The Godfather Part II","Event-10-1975","tt0071360","The Conversation","nm0000338","Francis Ford Coppola",NA,NA
"Best Director","Winner","The Conversation, The Godfather Part II","Event-10-1975","tt0071562","The Godfather Part II","nm0000338","Francis Ford Coppola",NA,NA
"Best Film","Winner",NA,"Event-10-1975","tt6725014","Scenes from a Marriage",NA,NA,NA,NA
"Best Screenplay","Winner","Ingmar Bergman","Event-10-1975","tt6725014","Scenes from a Marriage","nm0000005","Ingmar Bergman",NA,NA
"Best Supporting Actor","Winner","Lacombe, Lucien","Event-10-1975","tt0071733","Lacombe, Lucien","nm0530571","Holger Löwenadler",NA,NA
"Best Supporting Actress","Winner","Scenes from a Marriage","Event-10-1975","tt6725014","Scenes from a Marriage","nm0000761","Bibi Andersson",NA,NA
"Best Actor","Winner","The Late Show","Event-11-1977","tt0076301","The Late Show","nm0138770","Art Carney",NA,NA
"Best Actor",NA,"Providence","Event-11-1977","tt0076574","Providence","nm0000024","John Gielgud",NA,NA
"Best Actor",NA,"That Obscure Object of Desire","Event-11-1977","tt0075824","That Obscure Object of Desire","nm0721073","Fernando Rey",NA,NA
"Best Actor",NA,"Saturday Night Fever","Event-11-1977","tt0076666","Saturday Night Fever","nm0000237","John Travolta",NA,NA
"Best Actress","Winner","Annie Hall","Event-11-1977","tt0075686","Annie Hall","nm0000473","Diane Keaton",NA,NA
"Best Actress",NA,"3 Women","Event-11-1977","tt0075612","3 Women","nm0001167","Shelley Duvall",NA,NA
"Best Actress",NA,"Julia","Event-11-1977","tt0076245","Julia","nm0000404","Jane Fonda",NA,NA
"Best Cinematography","Winner","Thomas Mauch","Event-11-1977","tt0068182","Aguirre, the Wrath of God","nm0560761","Thomas Mauch",NA,NA
"Best Cinematography",NA,"Vittorio Storaro","Event-11-1977","tt0074084","1900","nm0005886","Vittorio Storaro",NA,NA
"Best Cinematography",NA,"Robby Müller","Event-11-1977","tt0075675","The American Friend","nm0005810","Robby Müller",NA,NA
"Best Director","Winner","That Obscure Object of Desire","Event-11-1977","tt0075824","That Obscure Object of Desire","nm0000320","Luis Buñuel",NA,NA
"Best Director",NA,"Close Encounters of the Third Kind","Event-11-1977","tt0075860","Close Encounters of the Third Kind","nm0000229","Steven Spielberg",NA,NA
"Best Director",NA,"Annie Hall","Event-11-1977","tt0075686","Annie Hall","nm0000095","Woody Allen",NA,NA
"Best Film","Winner",NA,"Event-11-1977","tt0075686","Annie Hall",NA,NA,NA,NA
"Best Film",NA,NA,"Event-11-1977","tt0075824","That Obscure Object of Desire",NA,NA,NA,NA
"Best Film",NA,NA,"Event-11-1977","tt0075860","Close Encounters of the Third Kind",NA,NA,NA,NA
"Best Screenplay","Winner","Woody Allen, Marshall Brickman","Event-11-1977","tt0075686","Annie Hall","nm0000095","Woody Allen",NA,NA
"Best Screenplay","Winner","Woody Allen, Marshall Brickman","Event-11-1977","tt0075686","Annie Hall","nm0108613","Marshall Brickman",NA,NA
"Best Supporting Actor","Winner","A Bridge Too Far","Event-11-1977","tt0075784","A Bridge Too Far","nm0002081","Edward Fox",NA,NA
"Best Supporting Actor",NA,"The Late Show","Event-11-1977","tt0076301","The Late Show","nm0534409","Bill Macy",NA,NA
"Best Supporting Actor",NA,"Islands in the Stream","Event-11-1977","tt0076211","Islands in the Stream","nm0376101","David Hemmings",NA,NA
"Best Supporting Actor",NA,"Julia","Event-11-1977","tt0076245","Julia","nm0001703","Maximilian Schell",NA,NA
"Best Supporting Actress","Winner","Citizens Band","Event-11-1977","tt0076123","Citizens Band","nm0917190","Ann Wedgeworth",NA,NA
"Best Supporting Actress",NA,"Citizens Band","Event-11-1977","tt0076123","Citizens Band","nm0734454","Marcia Rodd",NA,NA
"Best Supporting Actress",NA,"3 Women","Event-11-1977","tt0075612","3 Women","nm0000651","Sissy Spacek",NA,NA
"Best Actor","Winner","Taxi Driver","Event-12-1977","tt0075314","Taxi Driver","nm0000134","Robert De Niro",NA,NA
"Best Actor",NA,"The Last Woman","Event-12-1977","tt0075364","The Last Woman","nm0000367","Gérard Depardieu",NA,NA
"Best Actor",NA,"Network","Event-12-1977","tt0074958","Network","nm0000034","William Holden",NA,NA
"Best Actress","Winner","Carrie","Event-12-1977","tt0074285","Carrie","nm0000651","Sissy Spacek",NA,NA
"Best Actress",NA,"Network","Event-12-1977","tt0074958","Network","nm0001159","Faye Dunaway",NA,NA
"Best Actress",NA,"Face to Face","Event-12-1977","tt0074147","Face to Face","nm0880521","Liv Ullmann",NA,NA
"Best Cinematography","Winner","Haskell Wexler","Event-12-1977","tt0074235","Bound for Glory","nm0005549","Haskell Wexler",NA,NA
"Best Cinematography",NA,"Néstor Almendros","Event-12-1977","tt0074870","The Marquise of O","nm0000743","Néstor Almendros",NA,NA
"Best Cinematography",NA,"Michael Chapman","Event-12-1977","tt0075314","Taxi Driver","nm0152469","Michael Chapman",NA,NA
"Best Director","Winner","Taxi Driver","Event-12-1977","tt0075314","Taxi Driver","nm0000217","Martin Scorsese",NA,NA
"Best Director",NA,"All the President's Men","Event-12-1977","tt0074119","All the President's Men","nm0001587","Alan J. Pakula",NA,NA
"Best Director",NA,"The Marquise of O","Event-12-1977","tt0074870","The Marquise of O","nm0006445","Éric Rohmer",NA,NA
"Best Film","Winner",NA,"Event-12-1977","tt0074119","All the President's Men",NA,NA,NA,NA
"Best Film",NA,NA,"Event-12-1977","tt0075314","Taxi Driver",NA,NA,NA,NA
"Best Film",NA,NA,"Event-12-1977","tt0074891","The Memory of Justice",NA,NA,NA,NA
"Best Screenplay","Winner","Alain Tanner, John Berger","Event-12-1977","tt0074718","Jonah Who Will Be 25 in the Year 2000","nm0849609","Alain Tanner",NA,NA
"Best Screenplay","Winner","Alain Tanner, John Berger","Event-12-1977","tt0074718","Jonah Who Will Be 25 in the Year 2000","nm0074237","John Berger",NA,NA
"Best Screenplay",NA,"Paddy Chayefsky","Event-12-1977","tt0074958","Network","nm0154665","Paddy Chayefsky",NA,NA
"Best Screenplay",NA,"Paul Mazursky","Event-12-1977","tt0074963","Next Stop, Greenwich Village","nm0005196","Paul Mazursky",NA,NA
"Best Screenplay",NA,"Harold Pinter","Event-12-1977","tt0074777","The Last Tycoon","nm0056217","Harold Pinter",NA,NA
"Best Supporting Actor","Winner","All the President's Men","Event-12-1977","tt0074119","All the President's Men","nm0001673","Jason Robards",NA,NA
"Best Supporting Actor",NA,"Taxi Driver","Event-12-1977","tt0075314","Taxi Driver","nm0000172","Harvey Keitel",NA,NA
"Best Supporting Actor",NA,"Network, The Seven-Per-Cent Solution","Event-12-1977","tt0074958","Network","nm0000380","Robert Duvall",NA,NA
"Best Supporting Actor",NA,"Network, The Seven-Per-Cent Solution","Event-12-1977","tt0075194","The Seven-Per-Cent Solution","nm0000380","Robert Duvall",NA,NA
"Best Supporting Actress","Winner","Taxi Driver","Event-12-1977","tt0075314","Taxi Driver","nm0000149","Jodie Foster",NA,NA
"Best Supporting Actress",NA,"Rocky","Event-12-1977","tt0075148","Rocky","nm0001735","Talia Shire",NA,NA
"Best Supporting Actress",NA,"Cousin cousine","Event-12-1977","tt0072826","Cousin cousine","nm0685494","Marie-France Pisier",NA,NA
"Best Actor","Winner","The Buddy Holly Story","Event-13-1979","tt0077280","The Buddy Holly Story","nm0000997","Gary Busey",NA,NA
"Best Actor",NA,"Coming Home","Event-13-1979","tt0077362","Coming Home","nm0000685","Jon Voight",NA,NA
"Best Actor",NA,"Who'll Stop the Rain","Event-13-1979","tt0078490","Who'll Stop the Rain","nm0000560","Nick Nolte",NA,NA
"Best Actor",NA,"California Suite","Event-13-1979","tt0077289","California Suite","nm0000323","Michael Caine",NA,NA
"Best Actor",NA,"The Deer Hunter","Event-13-1979","tt0077416","The Deer Hunter","nm0000134","Robert De Niro",NA,NA
"Best Actress","Winner","Autumn Sonata","Event-13-1979","tt0077711","Autumn Sonata","nm0000006","Ingrid Bergman",NA,NA
"Best Actress",NA,"Coming Home, Comes a Horseman, California Suite","Event-13-1979","tt0077362","Coming Home","nm0000404","Jane Fonda",NA,NA
"Best Actress",NA,"Coming Home, Comes a Horseman, California Suite","Event-13-1979","tt0077360","Comes a Horseman","nm0000404","Jane Fonda",NA,NA
"Best Actress",NA,"Coming Home, Comes a Horseman, California Suite","Event-13-1979","tt0077289","California Suite","nm0000404","Jane Fonda",NA,NA
"Best Actress",NA,"An Unmarried Woman","Event-13-1979","tt0078444","An Unmarried Woman","nm0001049","Jill Clayburgh",NA,NA
"Best Actress",NA,"California Suite","Event-13-1979","tt0077289","California Suite","nm0001749","Maggie Smith",NA,NA
"Best Cinematography","Winner","Néstor Almendros","Event-13-1979","tt0077405","Days of Heaven","nm0000743","Néstor Almendros",NA,NA
"Best Director","Winner","Days of Heaven","Event-13-1979","tt0077405","Days of Heaven","nm0000517","Terrence Malick",NA,NA
"Best Director",NA,"Get Out Your Handkerchiefs","Event-13-1979","tt0078122","Get Out Your Handkerchiefs","nm0088397","Bertrand Blier",NA,NA
"Best Director",NA,"The Deer Hunter","Event-13-1979","tt0077416","The Deer Hunter","nm0001047","Michael Cimino",NA,NA
"Best Film","Winner",NA,"Event-13-1979","tt0078122","Get Out Your Handkerchiefs",NA,NA,NA,NA
"Best Film",NA,NA,"Event-13-1979","tt0078444","An Unmarried Woman",NA,NA,NA,NA
"Best Film",NA,NA,"Event-13-1979","tt0077416","The Deer Hunter",NA,NA,NA,NA
"Best Film",NA,NA,"Event-13-1979","tt0077405","Days of Heaven",NA,NA,NA,NA
"Best Screenplay","Winner","Paul Mazursky","Event-13-1979","tt0078444","An Unmarried Woman","nm0005196","Paul Mazursky",NA,NA
"Best Screenplay",NA,"Bertrand Blier","Event-13-1979","tt0078122","Get Out Your Handkerchiefs","nm0088397","Bertrand Blier",NA,NA
"Best Screenplay",NA,"Larry Gelbart, Sheldon Keller","Event-13-1979","tt0077952","Movie Movie","nm0312205","Larry Gelbart",NA,NA
"Best Screenplay",NA,"Larry Gelbart, Sheldon Keller","Event-13-1979","tt0077952","Movie Movie","nm0445766","Sheldon Keller",NA,NA
"Best Screenplay",NA,"Woody Allen","Event-13-1979","tt0077742","Interiors","nm0000095","Woody Allen",NA,NA
"Best Screenplay",NA,"W.D. Richter","Event-13-1979","tt0077745","Invasion of the Body Snatchers","nm0725379","W.D. Richter",NA,NA
