"AwardCategory","AwardWinner","SecondaryName.list","AwardCeremony","FilmID","FilmName","PersonID","PersonName","CompanyID","CompanyName","Ceremony","CeremonyYear"
"Best Actor","Winner","Mutiny on the Bounty, Ruggles of Red Gap","Event-1-1935","tt0026752","Mutiny on the Bounty","nm0001452","Charles Laughton",NA,NA,"001","1935"
"Best Actor","Winner","Mutiny on the Bounty, Ruggles of Red Gap","Event-1-1935","tt0026955","Ruggles of Red Gap","nm0001452","Charles Laughton",NA,NA,"001","1935"
"Best Actor",NA,"The Informer","Event-1-1935","tt0026529","The Informer","nm0572142","Victor McLaglen",NA,NA,"001","1935"
"Best Actress","Winner","Anna Karenina","Event-1-1935","tt0026071","Anna Karenina","nm0001256","Greta Garbo",NA,NA,"001","1935"
"Best Actress",NA,"Alice Adams","Event-1-1935","tt0026056","Alice Adams","nm0000031","Katharine Hepburn",NA,NA,"001","1935"
"Best Director","Winner","The Informer","Event-1-1935","tt0026529","The Informer","nm0000406","John Ford",NA,NA,"001","1935"
"Best Director",NA,"The Man Who Knew Too Much, The 39 Steps","Event-1-1935","tt0025452","The Man Who Knew Too Much","nm0000033","Alfred Hitchcock",NA,NA,"001","1935"
"Best Director",NA,"The Man Who Knew Too Much, The 39 Steps","Event-1-1935","tt0026029","The 39 Steps","nm0000033","Alfred Hitchcock",NA,NA,"001","1935"
"Best Film","Winner",NA,"Event-1-1935","tt0026529","The Informer",NA,NA,NA,NA,"001","1935"
"Best Film",NA,NA,"Event-1-1935",NA,NA,NA,NA,NA,NA,"001","1935"
"Best Actor","Winner","Going My Way","Event-10-1944","tt0036872","Going My Way","nm0280178","Barry Fitzgerald",NA,NA,"010","1944"
"Best Actor",NA,"Wilson","Event-10-1944","tt0037465","Wilson","nm0461594","Alexander Knox",NA,NA,"010","1944"
"Best Actor",NA,"Going My Way","Event-10-1944","tt0036872","Going My Way","nm0001078","Bing Crosby",NA,NA,"010","1944"
"Best Actress","Winner","Lifeboat","Event-10-1944","tt0037017","Lifeboat","nm0000845","Tallulah Bankhead",NA,NA,"010","1944"
"Best Actress",NA,"Gaslight","Event-10-1944","tt0036855","Gaslight","nm0000006","Ingrid Bergman",NA,NA,"010","1944"
"Best Actress",NA,"Double Indemnity","Event-10-1944","tt0036775","Double Indemnity","nm0001766","Barbara Stanwyck",NA,NA,"010","1944"
"Best Director","Winner","Going My Way","Event-10-1944","tt0036872","Going My Way","nm0564970","Leo McCarey",NA,NA,"010","1944"
"Best Director",NA,"Hail the Conquering Hero, The Miracle of Morgan's Creek","Event-10-1944","tt0036891","Hail the Conquering Hero","nm0002545","Preston Sturges",NA,NA,"010","1944"
"Best Director",NA,"Hail the Conquering Hero, The Miracle of Morgan's Creek","Event-10-1944","tt0037077","The Miracle of Morgan's Creek","nm0002545","Preston Sturges",NA,NA,"010","1944"
"Best Director",NA,"Double Indemnity","Event-10-1944","tt0036775","Double Indemnity","nm0000697","Billy Wilder",NA,NA,"010","1944"
"Best Film","Winner",NA,"Event-10-1944","tt0036872","Going My Way",NA,NA,NA,NA,"010","1944"
"Best Film",NA,NA,"Event-10-1944","tt0036891","Hail the Conquering Hero",NA,NA,NA,NA,"010","1944"
"Best Film",NA,NA,"Event-10-1944","tt0037465","Wilson",NA,NA,NA,NA,"010","1944"
"Best Actor","Winner","The Lost Weekend","Event-11-1945","tt0037884","The Lost Weekend","nm0001537","Ray Milland",NA,NA,"011","1945"
"Best Actor",NA,"Story of G.I. Joe","Event-11-1945","tt0038120","Story of G.I. Joe","nm0000053","Robert Mitchum",NA,NA,"011","1945"
"Best Actress","Winner","Spellbound, The Bells of St. Mary's","Event-11-1945","tt0038109","Spellbound","nm0000006","Ingrid Bergman",NA,NA,"011","1945"
"Best Actress","Winner","Spellbound, The Bells of St. Mary's","Event-11-1945","tt0037536","The Bells of St. Mary's","nm0000006","Ingrid Bergman",NA,NA,"011","1945"
"Best Actress",NA,"The Life and Death of Colonel Blimp, Love on the Dole","Event-11-1945","tt0036112","The Life and Death of Colonel Blimp","nm0000039","Deborah Kerr",NA,NA,"011","1945"
"Best Actress",NA,"The Life and Death of Colonel Blimp, Love on the Dole","Event-11-1945","tt0033853","Love on the Dole","nm0000039","Deborah Kerr",NA,NA,"011","1945"
"Best Actress",NA,"Mildred Pierce","Event-11-1945","tt0037913","Mildred Pierce","nm0001076","Joan Crawford",NA,NA,"011","1945"
"Best Director","Winner","The Lost Weekend","Event-11-1945","tt0037884","The Lost Weekend","nm0000697","Billy Wilder",NA,NA,"011","1945"
"Best Director",NA,"Story of G.I. Joe","Event-11-1945","tt0038120","Story of G.I. Joe","nm0920074","William A. Wellman",NA,NA,"011","1945"
"Best Film","Winner",NA,"Event-11-1945","tt0037884","The Lost Weekend",NA,NA,NA,NA,"011","1945"
"Best Film",NA,NA,"Event-11-1945","tt0038120","Story of G.I. Joe",NA,NA,NA,NA,"011","1945"
"Best Film",NA,NA,"Event-11-1945","tt0038116","State Fair",NA,NA,NA,NA,"011","1945"
"Best Film",NA,NA,"Event-11-1945","tt0036112","The Life and Death of Colonel Blimp",NA,NA,NA,NA,"011","1945"
"Best Actor","Winner","Henry V","Event-12-1946","tt0036910","Henry V","nm0000059","Laurence Olivier",NA,NA,"012","1946"
"Best Actor",NA,"The Best Years of Our Lives","Event-12-1946","tt0036868","The Best Years of Our Lives","nm0545298","Fredric March",NA,NA,"012","1946"
"Best Actor",NA,"Anna and the King of Siam","Event-12-1946","tt0038303","Anna and the King of Siam","nm0001322","Rex Harrison",NA,NA,"012","1946"
"Best Actress","Winner","Brief Encounter","Event-12-1946","tt0037558","Brief Encounter","nm0424743","Celia Johnson",NA,NA,"012","1946"
"Best Actress",NA,"To Each His Own","Event-12-1946","tt0039040","To Each His Own","nm0000014","Olivia de Havilland",NA,NA,"012","1946"
"Best Director","Winner","The Best Years of Our Lives","Event-12-1946","tt0036868","The Best Years of Our Lives","nm0943758","William Wyler",NA,NA,"012","1946"
"Best Director",NA,"Henry V","Event-12-1946","tt0036910","Henry V","nm0000059","Laurence Olivier",NA,NA,"012","1946"
"Best Director",NA,"It's a Wonderful Life","Event-12-1946","tt0038650","It's a Wonderful Life","nm0001008","Frank Capra",NA,NA,"012","1946"
