"item","imdb","distid","distributor"
"http://www.wikidata.org/entity/Q85997053","tt10665342","http://www.wikidata.org/entity/Q168383","Universal Pictures"
"http://www.wikidata.org/entity/Q107394970","tt1001520","http://www.wikidata.org/entity/Q168383","Universal Pictures"
"http://www.wikidata.org/entity/Q111684978","tt15679400","http://www.wikidata.org/entity/Q168383","Universal Pictures"
"http://www.wikidata.org/entity/Q99900595","tt12593682","http://www.wikidata.org/entity/Q186941","Columbia Pictures"
"http://www.wikidata.org/entity/Q5194502","tt0008984","http://www.wikidata.org/entity/Q327582","William Wadsworth Hodkinson"
"http://www.wikidata.org/entity/Q17629966","tt0009187","http://www.wikidata.org/entity/Q327582","William Wadsworth Hodkinson"
"http://www.wikidata.org/entity/Q99900595","tt12593682","http://www.wikidata.org/entity/Q822314","Sony Pictures"
"http://www.wikidata.org/entity/Q73791993","tt10217780","http://www.wikidata.org/entity/Q907311","Netflix"
"http://www.wikidata.org/entity/Q98931267","tt11276598","http://www.wikidata.org/entity/Q907311","Netflix"
"http://www.wikidata.org/entity/Q113455828","tt20850406","http://www.wikidata.org/entity/Q4768004","Annapurna Studios"
"http://www.wikidata.org/entity/Q7511953","tt10122538","http://www.wikidata.org/entity/Q6379314","Kavithalayaa Productions"
"http://www.wikidata.org/entity/Q63537012","tt10283234","http://www.wikidata.org/entity/Q17067950","Jaaz Multimedia"
"http://www.wikidata.org/entity/Q113455828","tt20850406","http://www.wikidata.org/entity/Q21786383","Lyca Productions"
"http://www.wikidata.org/entity/Q107394970","tt1001520","http://www.wikidata.org/entity/Q22079339","Amblin Partners"
"http://www.wikidata.org/entity/Q101245125","tt9469842","http://www.wikidata.org/entity/Q28404471","Cleopatra Entertainment"
"http://www.wikidata.org/entity/Q63928961","tt0018103","http://www.wikidata.org/entity/Q55631243","Rayart Pictures"
"http://www.wikidata.org/entity/Q17629966","tt0009187","http://www.wikidata.org/entity/Q63567746","W.W. Hodkinson Distribution"
"http://www.wikidata.org/entity/Q55065266","tt0197881","http://www.wikidata.org/entity/Q63567746","W.W. Hodkinson Distribution"
"http://www.wikidata.org/entity/Q56678809","tt0130640","http://www.wikidata.org/entity/Q63567746","W.W. Hodkinson Distribution"
"http://www.wikidata.org/entity/Q113330175","tt14586118","http://www.wikidata.org/entity/Q99485271","Njutafilms"
"http://www.wikidata.org/entity/Q111684978","tt15679400","http://www.wikidata.org/entity/Q110315448","Cinemundo"
"http://www.wikidata.org/entity/Q99900595","tt12593682","http://www.wikidata.org/entity/Q1097348","InterCom"
"http://www.wikidata.org/entity/Q113269780","tt20452514","http://www.wikidata.org/entity/Q1531663","Global Screen"
"http://www.wikidata.org/entity/Q11825953","tt0097688","http://www.wikidata.org/entity/Q2754549","Albafilm-Tirana"
"http://www.wikidata.org/entity/Q2921662","tt0094788","http://www.wikidata.org/entity/Q3290445","Marfilmes"
"http://www.wikidata.org/entity/Q116458064","tt20414550","http://www.wikidata.org/entity/Q177955","SF Studios"
"http://www.wikidata.org/entity/Q64991423","tt6007614","http://www.wikidata.org/entity/Q9589","iTunes"
"http://www.wikidata.org/entity/Q67603787","tt10095336","http://www.wikidata.org/entity/Q9589","iTunes"
"http://www.wikidata.org/entity/Q69416587","tt10287376","http://www.wikidata.org/entity/Q9589","iTunes"
"http://www.wikidata.org/entity/Q112183099","tt17663992","http://www.wikidata.org/entity/Q159846","Paramount Pictures"
"http://www.wikidata.org/entity/Q689728","tt0029880","http://www.wikidata.org/entity/Q774682","Republic Pictures"
"http://www.wikidata.org/entity/Q84195189","tt10964468","http://www.wikidata.org/entity/Q822314","Sony Pictures"
"http://www.wikidata.org/entity/Q51324832","tt12030516","http://www.wikidata.org/entity/Q907311","Netflix"
"http://www.wikidata.org/entity/Q67603787","tt10095336","http://www.wikidata.org/entity/Q907311","Netflix"
"http://www.wikidata.org/entity/Q111526747","tt14230846","http://www.wikidata.org/entity/Q55638217","Zee Studios"
"http://www.wikidata.org/entity/Q108919489","tt15006566","http://www.wikidata.org/entity/Q56290644","Greenwich Entertainment"
"http://www.wikidata.org/entity/Q88540764","tt11873440","http://www.wikidata.org/entity/Q60752075","AA Films"
"http://www.wikidata.org/entity/Q7801488","tt0015416","http://www.wikidata.org/entity/Q63567746","W.W. Hodkinson Distribution"
"http://www.wikidata.org/entity/Q59725898","tt0190100","http://www.wikidata.org/entity/Q63567746","W.W. Hodkinson Distribution"
"http://www.wikidata.org/entity/Q62576257","tt0012160","http://www.wikidata.org/entity/Q63567746","W.W. Hodkinson Distribution"
"http://www.wikidata.org/entity/Q63398563","tt0014326","http://www.wikidata.org/entity/Q63567746","W.W. Hodkinson Distribution"
"http://www.wikidata.org/entity/Q63568758","tt0011262","http://www.wikidata.org/entity/Q63567746","W.W. Hodkinson Distribution"
"http://www.wikidata.org/entity/Q108919489","tt15006566","http://www.wikidata.org/entity/Q111362749","Movies Inspired"
"http://www.wikidata.org/entity/Q111549435","tt15471560","http://www.wikidata.org/entity/Q913462","Gaumont Film Company"
"http://www.wikidata.org/entity/Q112183099","tt17663992","http://www.wikidata.org/entity/Q1005887","Fórum Hungary"
"http://www.wikidata.org/entity/Q106717182","tt0165836","http://www.wikidata.org/entity/Q1415344","Filmverlag der Autoren"
"http://www.wikidata.org/entity/Q109981247","tt13316756","http://www.wikidata.org/entity/Q1891982","Nordisk Film"
"http://www.wikidata.org/entity/Q108919489","tt15006566","http://www.wikidata.org/entity/Q3225114","Le Pacte"
"http://www.wikidata.org/entity/Q84195189","tt10964468","http://www.wikidata.org/entity/Q6934556","Culver Max Entertainment"
"http://www.wikidata.org/entity/Q21646234","tt10418364","http://www.wikidata.org/entity/Q7488442","Shanghai Film Group"
"http://www.wikidata.org/entity/Q65407744","tt8259410","http://www.wikidata.org/entity/Q11088472","Ústřední půjčovna filmů"
"http://www.wikidata.org/entity/Q33100679","tt6478512","http://www.wikidata.org/entity/Q11733380","CinemArt"
"http://www.wikidata.org/entity/Q10570514","tt0070344","http://www.wikidata.org/entity/Q177955","SF Studios"
"http://www.wikidata.org/entity/Q55444755","tt2504308","http://www.wikidata.org/entity/Q177955","SF Studios"
"http://www.wikidata.org/entity/Q120015381","tt17528660","http://www.wikidata.org/entity/Q177955","SF Studios"
"http://www.wikidata.org/entity/Q4353356","tt1286151","http://www.wikidata.org/entity/Q907311","Netflix"
"http://www.wikidata.org/entity/Q18244542","tt7510286","http://www.wikidata.org/entity/Q3075023","Folkets Bio"
"http://www.wikidata.org/entity/Q10418003","tt0058918","http://www.wikidata.org/entity/Q10661216","Sandrew Film & Theater"
"http://www.wikidata.org/entity/Q116678683","tt18163814","http://www.wikidata.org/entity/Q10662380","Scanbox Entertainment"
"http://www.wikidata.org/entity/Q14955491","tt0040528","http://www.wikidata.org/entity/Q10693427","Terrafilm"
"http://www.wikidata.org/entity/Q17500094","tt6448092","http://www.wikidata.org/entity/Q10890670","Beijing Enlight Pictures"
"http://www.wikidata.org/entity/Q1053293","tt1650453","http://www.wikidata.org/entity/Q907311","Netflix"
"http://www.wikidata.org/entity/Q63967614","tt10127562","http://www.wikidata.org/entity/Q907311","Netflix"
"http://www.wikidata.org/entity/Q112420566","tt5659164","http://www.wikidata.org/entity/Q907311","Netflix"
"http://www.wikidata.org/entity/Q71271003","tt10403962","http://www.wikidata.org/entity/Q122549","Shochiku"
"http://www.wikidata.org/entity/Q55391769","tt6340698","http://www.wikidata.org/entity/Q875920","Toho"
"http://www.wikidata.org/entity/Q110192938","tt11096624","http://www.wikidata.org/entity/Q875920","Toho"
"http://www.wikidata.org/entity/Q30887729","tt0326724","http://www.wikidata.org/entity/Q1066018","Toei Company"
"http://www.wikidata.org/entity/Q42577311","tt7472924","http://www.wikidata.org/entity/Q1066018","Toei Company"
"http://www.wikidata.org/entity/Q5459888","tt0051122","http://www.wikidata.org/entity/Q4390090","Daiei Film"
"http://www.wikidata.org/entity/Q4673447","tt0086848","http://www.wikidata.org/entity/Q6379314","Kavithalayaa Productions"
"http://www.wikidata.org/entity/Q4817206","tt0254150","http://www.wikidata.org/entity/Q6820497","Merryland Studio"
"http://www.wikidata.org/entity/Q109361165","tt13167612","http://www.wikidata.org/entity/Q17218299","Avex Pictures"
"http://www.wikidata.org/entity/Q21869205","tt0019733","http://www.wikidata.org/entity/Q648034","Bavaria Film"
"http://www.wikidata.org/entity/Q28130512","tt0128935","http://www.wikidata.org/entity/Q648034","Bavaria Film"
"http://www.wikidata.org/entity/Q97725544","tt0045242","http://www.wikidata.org/entity/Q875920","Toho"
"http://www.wikidata.org/entity/Q22974524","tt0012452","http://www.wikidata.org/entity/Q705676","Babelsberg Studio"
"http://www.wikidata.org/entity/Q3885812","tt0205074","http://www.wikidata.org/entity/Q3963283","Società Anonima Stefano Pittaluga"
"http://www.wikidata.org/entity/Q48673972","tt7994626","http://www.wikidata.org/entity/Q17053165","Lotus Five Star"
"http://www.wikidata.org/entity/Q18349760","tt0214500","http://www.wikidata.org/entity/Q24905282","Jubilee Productions"
"http://www.wikidata.org/entity/Q15992516","tt0132533","http://www.wikidata.org/entity/Q41468","UFA"
"http://www.wikidata.org/entity/Q3795258","tt0447376","http://www.wikidata.org/entity/Q168383","Universal Pictures"
"http://www.wikidata.org/entity/Q28045036","tt0475954","http://www.wikidata.org/entity/Q462288","Terra Film"
"http://www.wikidata.org/entity/Q22000328","tt0484205","http://www.wikidata.org/entity/Q648034","Bavaria Film"
"http://www.wikidata.org/entity/Q92189277","tt0133934","http://www.wikidata.org/entity/Q41468","UFA"
"http://www.wikidata.org/entity/Q5261147","tt0245895","http://www.wikidata.org/entity/Q462288","Terra Film"
"http://www.wikidata.org/entity/Q21999848","tt1482105","http://www.wikidata.org/entity/Q3531832","Modern Theatres"
"http://www.wikidata.org/entity/Q29830227","tt7998046","http://www.wikidata.org/entity/Q7503531","Shree Venkatesh Films"
"http://www.wikidata.org/entity/Q2817329","tt0177484","http://www.wikidata.org/entity/Q7943939","Vyjayanthi Movies"
"http://www.wikidata.org/entity/Q112117282","tt20840000","http://www.wikidata.org/entity/Q51328854","ZEE5"
"http://www.wikidata.org/entity/Q14949859","tt0014506","http://www.wikidata.org/entity/Q41468","UFA"
"http://www.wikidata.org/entity/Q23954874","tt0442394","http://www.wikidata.org/entity/Q41468","UFA"
"http://www.wikidata.org/entity/Q3472125","tt0083570","http://www.wikidata.org/entity/Q75533","National Film Development Corporation of India"
"http://www.wikidata.org/entity/Q21869970","tt0017516","http://www.wikidata.org/entity/Q1524436","Parufamet"
"http://www.wikidata.org/entity/Q3997478","tt0341062","http://www.wikidata.org/entity/Q3963283","Società Anonima Stefano Pittaluga"
"http://www.wikidata.org/entity/Q3536796","tt0254966","http://www.wikidata.org/entity/Q5530669","Gemini Studios"
"http://www.wikidata.org/entity/Q4831866","tt0449828","http://www.wikidata.org/entity/Q6379314","Kavithalayaa Productions"
"http://www.wikidata.org/entity/Q59727188","tt0012921","http://www.wikidata.org/entity/Q41468","UFA"
"http://www.wikidata.org/entity/Q21869649","tt0447287","http://www.wikidata.org/entity/Q441021","Aafa-Film"
"http://www.wikidata.org/entity/Q23566212","tt0014592","http://www.wikidata.org/entity/Q705676","Babelsberg Studio"
"http://www.wikidata.org/entity/Q4577535","tt6450176","http://www.wikidata.org/entity/Q3522039","Raadhika Sarathkumar"
"http://www.wikidata.org/entity/Q114354300","tt14176696","http://www.wikidata.org/entity/Q16516296","ADS Service"
"http://www.wikidata.org/entity/Q7832617","tt0015426","http://www.wikidata.org/entity/Q41468","UFA"
"http://www.wikidata.org/entity/Q17057068","tt0454533","http://www.wikidata.org/entity/Q41468","UFA"
"http://www.wikidata.org/entity/Q17127730","tt0014558","http://www.wikidata.org/entity/Q41468","UFA"
"http://www.wikidata.org/entity/Q13502410","tt0019559","http://www.wikidata.org/entity/Q648034","Bavaria Film"
"http://www.wikidata.org/entity/Q17479327","tt0130160","http://www.wikidata.org/entity/Q648034","Bavaria Film"
"http://www.wikidata.org/entity/Q22000964","tt0482534","http://www.wikidata.org/entity/Q648034","Bavaria Film"
"http://www.wikidata.org/entity/Q626101","tt0065417","http://www.wikidata.org/entity/Q907311","Netflix"
"http://www.wikidata.org/entity/Q65149109","tt4693588","http://www.wikidata.org/entity/Q4504080","Central Partnership"
"http://www.wikidata.org/entity/Q65149109","tt4693588","http://www.wikidata.org/entity/Q82326629","Imovision"
"http://www.wikidata.org/entity/Q3850727","tt0133955","http://www.wikidata.org/entity/Q41468","UFA"
"http://www.wikidata.org/entity/Q65149109","tt4693588","http://www.wikidata.org/entity/Q1683636","Tobis Film"
"http://www.wikidata.org/entity/Q66831826","tt9767556","http://www.wikidata.org/entity/Q3294957","Mars Films"
"http://www.wikidata.org/entity/Q123286193","tt26006816","http://www.wikidata.org/entity/Q3411249","Pyramide Distribution"
