"item","imdb","ia"
"http://www.wikidata.org/entity/Q681774","tt0038390","CaesarAndCleopatra"
"http://www.wikidata.org/entity/Q1198767","tt0045659","the-cruel-sea-1953"
"http://www.wikidata.org/entity/Q1214975","tt0062873","the-young-girls-of-rochefort"
"http://www.wikidata.org/entity/Q2061752","tt0048261","kissmedeadly1955_202001"
"http://www.wikidata.org/entity/Q2061752","tt0048261","kiss-me-deadly-1955"
"http://www.wikidata.org/entity/Q2061752","tt0048261","1955-kiss-me-deadly-el-beso-mortal-robert-aldrich-vose"
"http://www.wikidata.org/entity/Q4922071","tt0046790","1954-black-tuesday-martes-negro-hugo-fregonese-vo"
"http://www.wikidata.org/entity/Q4922071","tt0046790","1954-black-tuesday-martes-negro-hugo-fregonese-vose"
"http://www.wikidata.org/entity/Q4922071","tt0046790","black-tuesday-1954"
"http://www.wikidata.org/entity/Q1145140","tt0035753","le-corbeau"
"http://www.wikidata.org/entity/Q2336169","tt0017739","The_Cat_and_the_Canary"
"http://www.wikidata.org/entity/Q3536572","tt0032842","night-train-to-munich"
"http://www.wikidata.org/entity/Q3536572","tt0032842","night-train-to-munich-1940"
"http://www.wikidata.org/entity/Q3536572","tt0032842","NightTrainToMunich"
"http://www.wikidata.org/entity/Q256416","tt0023622","trouble-in-paradise"
"http://www.wikidata.org/entity/Q525026","tt0052050","1958-party-girl-chicago-anos-30-nicholas-ray-vose"
"http://www.wikidata.org/entity/Q854990","tt0080979","kagemusha_202012"
"http://www.wikidata.org/entity/Q1106127","tt0040843","1948-the-street-with-no-name-la-calle-sin-nombre-william-keighley-vo"
"http://www.wikidata.org/entity/Q1106127","tt0040843","1948-the-street-with-no-name-la-calle-sin-nombre-william-keighley-ve"
"http://www.wikidata.org/entity/Q1214977","tt0042727","TheMan_201607"
"http://www.wikidata.org/entity/Q1808904","tt0023940","design-for-living-1933"
"http://www.wikidata.org/entity/Q1858285","tt0035085","MoscowStrikesBack"
"http://www.wikidata.org/entity/Q2542754","tt0029217","1937-marked-woman-la-mujer-marcada-lloyd-bacon-vose"
"http://www.wikidata.org/entity/Q3180788","tt0047073","hell-and-high-water-1954"
"http://www.wikidata.org/entity/Q7033877","tt0049553","1956-nightmare-noche-de-pesadilla-maxwell-shane-vose"
"http://www.wikidata.org/entity/Q471306","tt0023427","scarface-1932_202109"
"http://www.wikidata.org/entity/Q471306","tt0023427","scarface-1932-colorized-movie-720p-hd"
"http://www.wikidata.org/entity/Q471306","tt0023427","1932-scarface-scarface-el-terror-del-hampa-howard-hawks-vose"
"http://www.wikidata.org/entity/Q578809","tt0047573","them-1954-colorized"
"http://www.wikidata.org/entity/Q852841","tt0055601","viridiana_202108"
"http://www.wikidata.org/entity/Q1060150","tt0039396","framed1947_202002"
"http://www.wikidata.org/entity/Q1060150","tt0039396","framed-1947-colorized"
"http://www.wikidata.org/entity/Q1168531","tt0044829","the-lavender-hill-mob_202105"
"http://www.wikidata.org/entity/Q1263875","tt0051713","1957-hell-drivers-ruta-infernal-desafio-al-miedo-cy-endfield-vose"
"http://www.wikidata.org/entity/Q1511625","tt0049291","the-harder-they-fall-1956"
"http://www.wikidata.org/entity/Q1511625","tt0049291","1956-the-harder-they-fall-mas-dura-sera-la-caida-mark-robson-vose"
"http://www.wikidata.org/entity/Q1774998","tt0041786","1949-the-reckless-moment-almas-desnudas-max-ophuls-vose"
"http://www.wikidata.org/entity/Q1774998","tt0041786","reckless-moment-1949"
"http://www.wikidata.org/entity/Q1774998","tt0041786","therecklessmoment1949"
"http://www.wikidata.org/entity/Q2309514","tt0045564","blue-gardenia-1953"
"http://www.wikidata.org/entity/Q2309514","tt0045564","thebluegardenia1953"
"http://www.wikidata.org/entity/Q2309514","tt0045564","1953-the-blue-gardenia-gardenia-azul-fritz-lang-vose"
"http://www.wikidata.org/entity/Q2329874","tt0033740","1941-i-wake-up-screaming-quien-mato-a-vicky-h.-bruce-humberstone-vose"
"http://www.wikidata.org/entity/Q2651105","tt0039017","Terror_By_Night"
"http://www.wikidata.org/entity/Q2651105","tt0039017","terror_by_night_ipod"
"http://www.wikidata.org/entity/Q2651105","tt0039017","TerrorByNight1946"
"http://www.wikidata.org/entity/Q2651105","tt0039017","TerrorByNight720p1946"
"http://www.wikidata.org/entity/Q2651105","tt0039017","TerrorByNight"
"http://www.wikidata.org/entity/Q3031451","tt0043390","cause_for_alarm_1951"
"http://www.wikidata.org/entity/Q3031451","tt0043390","cause_for_alarm"
"http://www.wikidata.org/entity/Q3031451","tt0043390","1951-cause-for-alarm-motivo-de-alarma-tay-garnett-vose"
"http://www.wikidata.org/entity/Q3031451","tt0043390","cause-for-alarm-1951-remastered-movie-720p-hd"
"http://www.wikidata.org/entity/Q3181879","tt0093603","nayakan-1987"
"http://www.wikidata.org/entity/Q3213886","tt0011508","Neighbors"
"http://www.wikidata.org/entity/Q4104532","tt0046001","TheLimpingMan"
"http://www.wikidata.org/entity/Q4104532","tt0046001","limping-man-1953"
"http://www.wikidata.org/entity/Q5095572","tt0041243","chicago-deadline-1949"
"http://www.wikidata.org/entity/Q5095572","tt0041243","1949chicagodeadlineelmisteriodeunadesconocidalewisallen"
"http://www.wikidata.org/entity/Q16249273","tt0050249","1957-chicago-confidential-crimen-s.-a.-sidney-salkow-vo"
"http://www.wikidata.org/entity/Q16249273","tt0050249","1957-chicago-confidential-crimen-s.-a.-sidney-salkow-ve"
"http://www.wikidata.org/entity/Q931739","tt0045201","hunted_202106"
"http://www.wikidata.org/entity/Q1953971","tt0036260","phantom-lady-1944"
"http://www.wikidata.org/entity/Q1953971","tt0036260","1944-phantom-lady-la-dama-desconocida-robert-siodmak-vose"
"http://www.wikidata.org/entity/Q3178503","tt0044364","1951-another-mans-poison-veneno-para-tus-labios-irving-rapper-vose"
"http://www.wikidata.org/entity/Q3178503","tt0044364","AnotherMansPoison51"
"http://www.wikidata.org/entity/Q3178503","tt0044364","AnotherMan_809"
"http://www.wikidata.org/entity/Q3225125","tt0047879","bighouseu.s.a.1955_201909"
"http://www.wikidata.org/entity/Q3514179","tt0047370","privatehell361954_202001"
"http://www.wikidata.org/entity/Q3514179","tt0047370","ph884535312"
"http://www.wikidata.org/entity/Q753141","tt0053976","the-virgin-spring"
"http://www.wikidata.org/entity/Q2177681","tt0040829","amazing_mr_x"
"http://www.wikidata.org/entity/Q2177681","tt0040829","TheAmazingMr.X1948Avi"
"http://www.wikidata.org/entity/Q2177681","tt0040829","the-amazing-mr-x-1948-remastered-edition-720p-hd"
"http://www.wikidata.org/entity/Q59317","tt0036613","1944-arsenic-and-old-lace-arsenico-por-compasion-frank-capra-vose"
"http://www.wikidata.org/entity/Q59317","tt0036613","1944-arsenic-and-old-lace-este-mundo-e-um-hospicio-frank-capra-legendado"
"http://www.wikidata.org/entity/Q884223","tt0027652","1936furyfuriafritzlangvose"
"http://www.wikidata.org/entity/Q1199039","tt0014341","OurHospitality_29"
"http://www.wikidata.org/entity/Q1412513","tt0042546","harvey-colorized"
"http://www.wikidata.org/entity/Q1436866","tt0051790","ivan-the-terrible-part-ii-1958"
"http://www.wikidata.org/entity/Q1498122","tt0037469","thewomaninthewindow1944"
"http://www.wikidata.org/entity/Q1498122","tt0037469","1944-the-woman-in-the-window-la-mujer-del-cuadro-fritz-lang"
"http://www.wikidata.org/entity/Q1546792","tt0038733","Lbines-RetroVisionTheaterPresentsAMatterOfLifeAndDeath502"
"http://www.wikidata.org/entity/Q1546792","tt0038733","amoflad"
"http://www.wikidata.org/entity/Q1856418","tt0048021","rififi-1955"
"http://www.wikidata.org/entity/Q1856418","tt0048021","rififi-1955-colorized-movie-720p-hd"
"http://www.wikidata.org/entity/Q210873","tt0037865","leave-her-to-heaven-1945_202110"
"http://www.wikidata.org/entity/Q210873","tt0037865","que-el-cielo-la-juzgue-1946-vose"
"http://www.wikidata.org/entity/Q1093085","tt0045555","1953thebigheatlossobornadosfritzlang"
"http://www.wikidata.org/entity/Q1219927","tt0031867","1939theroaringtwentiesraoulwalsh"
"http://www.wikidata.org/entity/Q1311296","tt0046187","pickuponsouthstreet1953_202001"
"http://www.wikidata.org/entity/Q1311296","tt0046187","pickup-on-south-street-1953"
"http://www.wikidata.org/entity/Q1311296","tt0046187","1953-pickup-on-south-street-manos-peligrosas-samuel-fuller-vose"
"http://www.wikidata.org/entity/Q1311296","tt0046187","7.7-pickup-on-south-street-1953-richard-widmark"
"http://www.wikidata.org/entity/Q1311296","tt0046187","PickupOnSouthStreet"
"http://www.wikidata.org/entity/Q1570221","tt0041859","1949thesetupnadiepuedevencermecombatetrucadorobertwise"
"http://www.wikidata.org/entity/Q164008","tt0048977","1956-the-bad-seed-la-mala-semilla-mervyn-le-roy-legendado"
"http://www.wikidata.org/entity/Q164008","tt0048977","1956-the-bad-seed-la-mala-semilla-mervyn-le-roy-vose"
"http://www.wikidata.org/entity/Q190575","tt0020530","UnChienAndalou_313"
"http://www.wikidata.org/entity/Q190575","tt0020530","un-chien-andalou__1929-film__luis_bunuel"
"http://www.wikidata.org/entity/Q2298679","tt0037635","dead-of-night_20210519"
"http://www.wikidata.org/entity/Q425904","tt0042788","nightandthecity1950"
"http://www.wikidata.org/entity/Q599466","tt0038975","1945-the-spiral-staircase-la-escalera-de-caracol-robert-siodmak-vose"
"http://www.wikidata.org/entity/Q599466","tt0038975","tss32236"
"http://www.wikidata.org/entity/Q1970114","tt0014497","SoulsForSale1923"
"http://www.wikidata.org/entity/Q3100955","tt0036094","LadyofBurlesque"
