"Const","Year","Title","Title.Type","IMDb.Rating","Your.Rating","Date.Rated","Runtime","Num.Votes"
"tt0017075",1927,"The Lodger: A Story of the London Fog","movie",7.3,NA,NA,92,12922
"tt0026424",1935,"The Good Fairy","movie",7.5,NA,NA,98,1575
"tt0121453",1941,"'Kukan': The Battle Cry of China","movie",7.8,NA,NA,90,53
"tt0033623",1941,"The Forgotten Village","movie",6.8,NA,NA,67,96
"tt1147458",1941,"Anzacs in Action","short",NA,NA,NA,NA,NA
"tt0035279",1942,"Saboteur","movie",7.1,NA,NA,109,27190
"tt0034514",1942,"The Big Street","movie",6.4,NA,NA,88,1643
"tt0035360",1942,"Son of Fury: The Story of Benjamin Blake","movie",7.1,NA,NA,98,1787
"tt0033811",1942,"The Land","short",7.4,NA,NA,43,98
"tt0035112",1942,"Native Land","movie",6.3,NA,NA,80,374
"tt0036613",1944,"Arsenic and Old Lace","movie",7.9,NA,NA,118,73630
"tt0039926",1947,"The Two Mrs. Carrolls","movie",6.8,NA,NA,99,4736
"tt0039761",1947,"Repeat Performance","movie",6.8,NA,NA,91,1647
"tt0040512",1948,"Kiss the Blood Off My Hands","movie",6.7,NA,NA,79,1925
"tt0040829",1948,"The Amazing Mr. X","movie",6.4,NA,NA,78,2090
"tt0040455",1948,"The Hunted","movie",6.5,NA,NA,88,545
"tt0041498",1949,"I Was a Male War Bride","movie",7,NA,NA,105,8982
"tt0041251",1949,"City Across the River","movie",6.3,NA,NA,91,447
"tt0040137",1949,"Le mura di Malapaga","movie",6.8,NA,NA,104,959
"tt0042788",1950,"Night and the City","movie",7.9,NA,NA,101,14895
"tt0043132",1950,"Where the Sidewalk Ends","movie",7.6,NA,NA,95,9697
"tt0042529",1950,"Guilty Bystander","movie",6.2,NA,NA,91,1034
"tt0043390",1951,"Cause for Alarm!","movie",6.4,NA,NA,74,2523
"tt0044789",1952,"Kansas City Confidential","movie",7.3,NA,NA,99,7891
"tt0201477",1952,"La bestia debe morir","movie",7.5,NA,NA,95,511
"tt0044474",1952,"Il cappotto","movie",7.6,NA,NA,102,671
"tt0045877",1953,"The Hitch-Hiker","movie",6.9,NA,NA,71,10132
"tt0046126",1953,"Niagara","movie",7,NA,NA,92,19221
"tt0050233",1955,"Cast a Dark Shadow","movie",7,NA,NA,82,2883
"tt0047880",1955,"The Big Knife","movie",6.8,NA,NA,111,3975
"tt0047878",1955,"The Big Combo","movie",7.3,NA,NA,87,8261
"tt0143920",1956,"Los tallos amargos","movie",7.6,NA,NA,90,642
"tt0050653",1957,"The Long Haul","movie",6.7,NA,NA,100,876
"tt3281142",1957,"Amina","movie",NA,NA,NA,90,NA
