"Const","Year","Title","Title.Type","IMDb.Rating","Your.Rating","Date.Rated","Runtime","Num.Votes"
"tt0006206",1915,"Les vampires","movie",7.3,NA,NA,421,5448
"tt2122384",1916,"Les vampires: L'homme des poisons","movie",7.1,NA,NA,53,238
"tt2122391",1916,"Les vampires: Les noces sanglantes","movie",7.1,NA,NA,60,231
"tt2122389",1916,"Les vampires: Le maître de la foudre","movie",7.1,NA,NA,55,243
"tt2122393",1916,"Les vampires: Satanas","movie",6.9,NA,NA,46,242
"tt0009145",1918,"The Heart of Humanity","movie",6,NA,NA,105,115
"tt0011294",1924,"L'hirondelle et la mésange","movie",7.2,NA,NA,80,244
"tt0014972",1924,"He Who Gets Slapped","movie",7.8,NA,NA,95,4316
"tt0017075",1927,"The Lodger: A Story of the London Fog","movie",7.3,NA,NA,92,13456
"tt0018192",1927,"Napoléon vu par Abel Gance","movie",8.2,NA,NA,330,8841
"tt0018446",1927,"Stark Love","movie",6.5,NA,NA,70,160
"tt0020080",1928,"The Last Warning","movie",6.8,NA,NA,89,822
"tt0018839",1928,"The Docks of New York","movie",7.5,NA,NA,76,5055
"tt0019655",1929,"Asphalt","movie",7.4,NA,NA,94,1692
"tt0022125",1931,"Marius","movie",7.8,NA,NA,130,2585
"tt0022725",1932,"Broken Lullaby","movie",7.5,NA,NA,76,1542
"tt0022877",1932,"Fanny","movie",7.8,NA,NA,140,1938
"tt0026424",1935,"The Good Fairy","movie",7.5,NA,NA,98,1631
"tt0027489",1936,"César","movie",7.6,NA,NA,168,1656
"tt0029957",1938,"La bête humaine","movie",7.5,NA,NA,100,8441
"tt0121453",1941,"'Kukan': The Battle Cry of China","movie",7.7,NA,NA,90,60
"tt0033623",1941,"The Forgotten Village","movie",6.7,NA,NA,67,100
"tt1147458",1941,"Anzacs in Action","short",NA,NA,NA,NA,NA
"tt0035279",1942,"Saboteur","movie",7.1,NA,NA,109,28065
"tt0034514",1942,"The Big Street","movie",6.4,NA,NA,88,1669
"tt0035360",1942,"Son of Fury: The Story of Benjamin Blake","movie",7.1,NA,NA,98,1839
"tt0033811",1942,"The Land","short",7.3,NA,NA,43,102
"tt0035112",1942,"Native Land","movie",6.3,NA,NA,80,381
"tt0039926",1947,"The Two Mrs. Carrolls","movie",6.8,NA,NA,99,4920
"tt0039761",1947,"Repeat Performance","movie",6.8,NA,NA,91,2021
"tt0040512",1948,"Kiss the Blood Off My Hands","movie",6.8,NA,NA,79,2175
"tt0040455",1948,"The Hunted","movie",6.5,NA,NA,88,673
"tt0040175",1948,"Blood on the Moon","movie",6.9,NA,NA,88,3520
"tt0041498",1949,"I Was a Male War Bride","movie",7,NA,NA,105,9232
"tt0041251",1949,"City Across the River","movie",6.3,NA,NA,91,465
"tt0040137",1949,"Le mura di Malapaga","movie",6.8,NA,NA,104,995
